,Country,Region,Year,Infant_deaths,Under_five_deaths,Adult_mortality,Alcohol_consumption,Hepatitis_B,Measles,BMI,Polio,Diphtheria,Incidents_HIV,GDP_per_capita,Population_mln,Thinness_ten_nineteen_years,Thinness_five_nine_years,Schooling,Economy_status_Developed,Economy_status_Developing,Life_expectancy
0,Turkiye,Middle East,2015,11.1,13.0,105.824,1.32,97,65,27.8,97,97,0.08,11006,78.53,4.9,4.8,7.8,0,1,76.5
6,Russian Federation,Rest of Europe,2015,6.6,8.2,223.0,8.06,97,97,26.2,97,97,0.08,9313,144.1,2.3,2.3,12.0,0,1,71.2
27,Cameroon,Africa,2015,57.0,88.0,340.1265,4.55,84,64,24.3,77,84,1.12,1383,23.3,5.6,5.5,6.1,0,1,57.6
43,"Gambia, The",Africa,2015,39.7,59.8,261.7065,2.69,97,64,23.9,96,97,0.96,661,2.09,7.3,7.2,3.4,0,1,60.9
57,Algeria,Africa,2015,21.6,25.2,95.8155,0.55,95,99,25.5,95,95,0.05,4178,39.73,6.0,5.8,7.9,0,1,76.1
74,Oman,Middle East,2015,9.6,11.2,89.1875,0.45,99,98,26.3,99,99,0.05,18445,4.27,7.1,6.9,9.5,0,1,76.9
101,Madagascar,Africa,2015,41.3,59.0,218.4575,0.86,69,64,21.3,68,69,0.24,467,24.23,7.1,7.1,6.1,0,1,65.5
112,Vietnam,Asia,2015,17.4,21.8,124.547,2.98,97,65,21.7,97,97,0.12,2582,92.68,14.2,14.5,8.0,0,1,75.1
121,Eswatini,Africa,2015,45.2,57.2,434.821,7.49,90,83,26.8,84,90,14.3,3680,1.1,4.0,4.1,6.5,0,1,55.4
160,Botswana,Africa,2015,39.6,49.7,248.595,6.14,95,80,24.3,96,95,5.81,6403,2.12,6.4,6.1,9.2,0,1,67.3
173,Nepal,Asia,2015,29.2,35.5,154.604,0.24,91,65,22.4,90,91,0.17,902,27.02,15.7,16.1,4.7,0,1,69.5
182,"Congo, Dem. Rep.",Africa,2015,73.0,95.9,260.0235,4.47,81,64,21.9,78,81,0.35,497,76.24,9.5,9.3,6.4,0,1,59.3
202,Belarus,Rest of Europe,2015,3.1,4.1,163.872,9.79,99,99,26.6,99,99,0.22,5967,9.46,1.9,2.0,12.2,0,1,73.6
216,Angola,Africa,2015,57.7,88.1,242.9655,6.53,64,64,23.2,62,64,0.89,3128,27.88,8.3,8.2,5.0,0,1,59.4
219,Ukraine,Rest of Europe,2015,8.1,9.5,202.8,6.04,22,57,26.5,51,23,0.23,2125,45.15,2.3,2.4,11.3,0,1,71.2
241,Costa Rica,Central America and Caribbean,2015,7.7,9.1,85.6715,3.19,92,90,27.3,92,92,0.19,11643,4.85,1.7,1.7,8.8,0,1,79.6
300,Chad,Africa,2015,75.7,128.7,363.167,0.66,46,64,21.9,52,46,0.42,776,14.11,8.5,8.4,2.3,0,1,53.1
303,Solomon Islands,Oceania,2015,19.3,22.7,148.087,1.01,98,65,26.2,85,98,0.17,2167,0.6,1.1,1.2,5.4,0,1,72.2
330,Iraq,Middle East,2015,24.8,29.7,162.9175,0.16,56,76,28.6,72,58,0.13,4688,35.57,5.3,5.1,6.6,0,1,69.9
333,Guinea-Bissau,Africa,2015,60.0,92.1,270.2885,3.13,87,64,23.4,83,87,1.58,603,1.74,7.1,7.0,2.9,0,1,57.0
415,Honduras,Central America and Caribbean,2015,16.5,19.2,146.5195,2.49,97,83,26.7,98,97,0.07,2302,9.11,2.1,2.1,6.3,0,1,74.5
426,Guinea,Africa,2015,68.4,107.3,262.871,0.38,54,64,22.9,47,54,0.74,769,11.43,7.3,7.3,2.6,0,1,59.6
451,Indonesia,Asia,2015,23.2,27.7,175.564,0.08,78,31,23.0,85,78,0.15,3332,258.38,1.4,1.2,7.9,0,1,70.8
473,Dominican Republic,Central America and Caribbean,2015,28.8,35.0,161.617,5.39,81,83,26.4,87,85,0.38,6922,10.28,3.3,3.2,7.8,0,1,73.2
487,Mexico,North America,2015,13.9,16.2,110.8405,4.24,82,96,27.9,87,87,0.16,9617,121.86,1.5,1.5,8.6,0,1,74.9
498,Benin,Africa,2015,63.2,97.6,242.9535,1.53,82,83,23.5,72,82,0.33,1077,10.58,6.9,6.8,3.5,0,1,60.6
511,St. Vincent and the Grenadines,Central America and Caribbean,2015,15.2,16.7,154.8235,7.41,98,83,27.1,97,98,0.4,7207,0.11,3.5,3.4,8.6,0,1,72.1
546,Kiribati,Oceania,2015,44.7,57.6,198.449,0.35,82,76,30.0,80,78,0.17,1535,0.11,0.1,0.1,7.9,0,1,67.3
556,Brazil,South America,2015,14.2,15.9,144.3625,6.63,96,80,26.5,98,96,0.24,8814,204.47,2.7,2.6,7.6,0,1,75.0
558,Guyana,South America,2015,27.4,33.1,209.372,5.48,95,95,26.3,92,95,0.59,5577,0.77,5.5,5.3,8.4,0,1,69.3
579,China,Asia,2015,8.3,10.7,82.273,5.66,99,99,23.7,99,99,0.1,8016,1379.86,3.6,2.9,7.7,0,1,75.9
584,Eritrea,Africa,2015,34.0,46.3,255.781,1.03,95,88,20.7,95,95,0.1,9011,0.35,8.4,8.2,3.9,0,1,64.7
590,Kuwait,Middle East,2015,7.5,8.8,58.1365,0.0,99,96,29.5,99,99,0.13,29870,3.84,3.5,3.4,7.1,0,1,75.1
608,Grenada,Central America and Caribbean,2015,14.3,16.2,141.3,8.2,92,89,26.9,99,92,0.4,9097,0.11,3.8,3.8,8.7,0,1,72.4
626,Albania,Rest of Europe,2015,8.5,9.6,75.205,4.33,99,98,26.6,99,99,0.03,3953,2.88,1.2,1.3,9.7,0,1,78.0
